Model Town,28.7027391,77.1940059,Pentamed Canteen,28.699219972029947,77.19174820097714,Snack Place,4b9291cdf964a5204a0534e3,0
Model Town,28.7027391,77.1940059,Hot-Pot,28.702269485589042,77.19757654834768,Food Truck,4be5440abcef2d7fb89a03e5,0
Model Town,28.7027391,77.1940059,Dunkin Donuts,28.705036830843877,77.19006901993055,Donut Shop,50e5aa40e4b04630d3d52240,0
Model Town,28.7027391,77.1940059,Pizza Hut,28.699932838104072,77.19741371246307,Pizza Place,4e0f476a1f6e9964ea2b45c6,0
Model Town,28.7027391,77.1940059,Domino's Pizza,28.704,77.19,Pizza Place,4bfa31284a67c928d9f227cf,0
Model Town,28.7027391,77.1940059,McDonald's,28.70563888314002,77.19014763530008,Fast Food Restaurant,4c9117b8ae45224b14f1e497,0
Model Town,28.7027391,77.1940059,Grand Plaza,28.704231883359686,77.18931952920994,Restaurant,4dc29ed9d22dd7df9aac7768,0
Rohini,28.7162092,77.1170743,Haldiram's,28.716037765671604,77.11628248182228,Indian Restaurant,4e6b56fb52b1c1206032ae34,0
Rohini,28.7162092,77.1170743,McDonald's,28.71565581613347,77.11561383552747,Burger Joint,4fb79c4ce4b09ac92a7faaa2,0
Rohini,28.7162092,77.1170743,KFC UnityOne Mall Rohini,28.714914,77.11611,Fried Chicken Joint,58a07e9a0b7e937af7ec4aa2,0
Rohini,28.7162092,77.1170743,Nine 2 Eleven,28.716432,77.118286,Chinese Restaurant,50c9faf7e4b0c5183bd96171,0
Rohini,28.7162092,77.1170743,New York Creamery & Cafe,28.716687,77.114362,Café,4f1d8dd4e4b0ce22e7abdbcc,0
Rohini,28.7162092,77.1170743,Blue Moon Restaurant,28.71622487994351,77.11396186984702,Indian Restaurant,52df933e11d207a2344338a8,0
Kanjhawala,28.4772236,77.0832762,Haldirams,28.480683564363655,77.08020016769409,Indian Restaurant,4bd1660dcaff9521f09cd0f0,0
Kanjhawala,28.4772236,77.0832762,Dunkin' Donuts,28.478283,77.082483,Donut Shop,57750690498ec9de51b2a93c,0
Kanjhawala,28.4772236,77.0832762,McDonald's,28.47946637644381,77.08189895304325,Fast Food Restaurant,51c085c5498ec135e7815e05,0
Kanjhawala,28.4772236,77.0832762,Bisque,28.480823563165522,77.0857451994706,Bakery,4bf64520d4cdb713775184fe,0
